left,right,add,sub
1490.48,1507.4,2997.88,-16.92
1493.7,1505.79,2999.49,-12.09
1488.06,1504.17,2992.23,-16.11
1483.23,1519.48,3002.71,-36.25
1484.84,1494.51,2979.35,-9.67
1486.45,1494.51,2980.96,-8.06
1477.59,1493.7,2971.29,-16.11
1469.53,1495.31,2964.84,-25.78
1490.48,1496.92,2987.4,-6.44
1467.11,1509.01,2976.12,-41.9
1487.26,1499.34,2986.6,-12.08
1467.11,1494.51,2961.62,-27.4
1484.84,1487.26,2972.1,-2.42
1481.62,1496.92,2978.54,-15.3
1481.62,1492.9,2974.52,-11.28
1475.17,1484.03,2959.2,-8.86
1473.56,1487.26,2960.82,-13.7
1468.73,1491.28,2960.01,-22.55
1475.17,1481.62,2956.79,-6.45
1449.39,1482.42,2931.81,-33.03
1456.64,1487.26,2943.9,-30.62
1455.03,1489.67,2944.7,-34.64
1447.78,1481.62,2929.4,-33.84
1462.28,1481.62,2943.9,-19.34
1456.64,1483.23,2939.87,-26.59
1454.22,1484.03,2938.25,-29.81
1464.7,1477.59,2942.29,-12.89
1462.28,1475.17,2937.45,-12.89
1467.11,1434.89,2902,32.22
1432.47,1457.45,2889.92,-24.98
1418.77,1412.33,2831.1,6.44
1413.13,1412.33,2825.46,0.8
1405.08,1402.66,2807.74,2.42
1406.69,1406.69,2813.38,0
1416.36,1401.05,2817.41,15.31
1373.66,1392.19,2765.85,-18.53
1379.3,1378.49,2757.79,0.81
1392.19,1381.71,2773.9,10.48
1386.55,1379.3,2765.85,7.25
1403.47,1376.88,2780.35,26.59
1392.99,1372.05,2765.04,20.94
1397.02,1395.41,2792.43,1.61
1422.8,1390.58,2813.38,32.22
1400.24,1392.19,2792.43,8.05
1397.83,1392.19,2790.02,5.64
1393.8,1396.22,2790.02,-2.42
1401.05,1387.35,2788.4,13.7
1405.08,1380.1,2785.18,24.98
1405.08,1400.24,2805.32,4.84
1394.6,1405.08,2799.68,-10.48
1409.11,1400.24,2809.35,8.87
1402.66,1401.05,2803.71,1.61
1411.52,1397.02,2808.54,14.5
1397.02,1406.69,2803.71,-9.67
1416.36,1394.6,2810.96,21.76
1413.94,1409.11,2823.05,4.83
