start,,,
right,left,lighting led pin,
928.12,3231.52,1,21657307
925.71,3189.62,1,21774304
912.01,3208.96,1,21891307
916.85,3220.24,1,22008304
928.12,3231.52,1,22125307
918.46,3212.18,1,22242250
905.57,3221.85,1,22359307
915.23,3183.18,1,22483473
912.82,3215.41,1,22600330
914.43,3244.41,1,22717304
912.01,3247.63,1,22834307
915.23,3241.19,1,22951281
915.23,3244.41,1,23068319
912.01,3237.96,1,23185315
904.76,3254.08,1,23302307
902.34,3254.08,0,23419326
909.59,3234.74,0,23536319
898.32,3266.97,0,23660588
902.34,3266.97,0,23777319
884.62,3292.75,0,23894304
899.12,3273.41,0,24011254
896.7,3244.41,0,24128281
899.12,3279.86,0,24245318
893.48,3273.41,0,24371984
903.96,3257.3,0,24496524
889.45,3299.19,0,24613239
902.34,3279.86,0,24730308
899.12,3239.58,0,24847292
906.37,3239.58,0,24964307
898.32,3254.08,0,25081304
889.45,3247.63,0,25198307
889.45,3247.63,0,25315315
906.37,3241.19,0,25432254
907.18,3247.63,0,25549304
887.84,3260.52,0,25666307
886.23,3287.92,2,25783292
889.45,3295.97,2,25900308
885.42,3292.75,2,26017304
836.28,3136.45,2,26134307
839.5,3118.73,2,26251304
835.47,3092.94,2,26368307
815.33,3086.5,2,26492227
800.02,3112.28,2,26609307
817.75,3105.83,2,26726269
828.22,3107.45,2,26843319
829.83,3089.72,2,26960304
837.89,3092.94,2,27077307
837.89,3089.72,2,27194315
832.25,3092.94,2,27311308
845.14,3086.5,2,27428304
841.11,3092.94,2,27545330
845.95,3105.83,2,27662315
859.64,3092.94,2,27779330
854,3080.05,2,27896315
857.23,3081.67,2,28013318
863.67,3076.83,1,28130316
863.67,3065.55,1,28253990
907.18,3167.07,1,28371281
892.68,3154.17,1,28535627
898.32,3186.4,1,28657091
907.98,3196.07,1,28781636
915.23,3170.29,1,28898283
915.23,3170.29,1,29015270
906.37,3176.73,1,29132211
908.79,3181.57,1,29249282
912.01,3192.85,1,29366190
915.23,3196.07,1,29483252
905.57,3184.79,1,29600253
889.45,3189.62,1,29717270
910.4,3196.07,1,29834253
907.18,3196.07,1,29951251
894.29,3196.07,1,30068211
905.57,3189.62,1,30185327
908.79,3183.18,1,30302230
906.37,3196.07,1,30419270
910.4,3196.07,2,30543169
912.01,3183.18,2,30660270
880.59,3215.41,2,30777283
878.98,3208.96,2,30894252
850.78,3073.61,2,31011253
850.78,3084.89,2,31128252
845.95,3067.16,2,31245253
837.89,3070.39,2,31362252
837.89,3086.5,2,31479211
837.89,3067.16,2,31596252
847.56,3067.16,2,31713221
847.56,3099.39,2,31830252
858.03,3083.28,2,31947253
860.45,3083.28,2,32064252
845.14,3086.5,2,32181201
837.89,3092.94,2,32298282
863.67,3070.39,2,32415253
863.67,3076.83,2,32539135
865.28,3067.16,2,32656191
868.51,3073.61,2,32781578
,,,
start,,,
right,left,lighting led pin,
897.51,3131.62,0,0
876.56,3170.29,0,241
876.56,3163.84,0,117377
928.12,3196.07,0,234306
903.96,3118.73,0,351302
883.81,3133.23,0,468358
883.81,3141.28,0,585343
863.67,3105.83,0,702316
835.47,3125.17,0,829056
839.5,3118.73,0,946358
839.5,3118.73,0,1063354
841.11,3112.28,0,1180316
863.67,3107.45,0,1297343
872.53,3092.94,0,1414445
863.67,3092.94,0,1538157
873.34,3041.38,0,1655286
860.45,3067.16,0,1772343
865.28,3067.16,0,1889358
863.67,3076.83,0,2006354
863.67,3084.89,0,2123346
863.67,3083.28,0,2240343
870.12,3065.55,0,2357358
870.12,3060.72,0,2474385
876.56,3080.05,0,2591358
885.42,3055.08,0,2708342
876.56,3067.16,0,2825376
882.2,3057.5,0,2942408
887.84,3047.83,0,3059376
874.95,3067.16,0,3176343
870.12,3080.05,0,3293306
886.23,3057.5,0,3410343
