start,,,
right,left,lighting led pin,
887.84,3086.5,0,33428780
880.59,3092.94,0,33559839
889.45,3105.83,0,33690854
887.04,3105.83,0,33821777
878.98,3092.94,0,33952842
889.45,3092.94,1,34083839
876.56,3091.33,1,34214843
881.4,3089.72,1,34345827
889.45,3080.05,1,34483750
899.93,3038.16,1,34614839
896.7,3054.27,1,34745727
902.34,3073.61,1,34876714
889.45,3057.5,1,35007780
888.65,3057.5,1,35138776
887.04,3073.61,1,35269842
889.45,3073.61,1,35407249
885.42,3081.67,1,35545789
880.59,3057.5,1,35676767
889.45,3060.72,1,35807830
876.56,3073.61,1,35938827
883.81,3083.28,1,36069831
887.04,3073.61,1,36200827
889.45,3057.5,1,36331831
889.45,3081.67,1,36462827
876.56,3073.61,1,36593831
,,,
start,,,
right,left,lighting led pin,
866.09,3105.83,0,0
884.62,3076.83,0,233
941.82,3189.62,0,130626
878.17,3092.94,0,261566
879.79,3092.94,0,392635
881.4,3099.39,0,523626
886.23,3060.72,0,661137
876.56,3080.05,0,791626
876.56,3092.94,0,922634
879.79,3092.94,0,1053626
881.4,3076.83,0,1184562
883.81,3076.83,0,1315626
876.56,3073.61,0,1446635
876.56,3089.72,0,1577638
878.98,3076.83,0,1708572
883.81,3067.16,0,1839626
876.56,3092.94,0,1970572
884.62,3076.83,0,2101626
876.56,3080.05,0,2232634
877.37,3041.38,0,2363626
888.65,3063.94,0,2494572
889.45,3053.47,0,2625638
871.73,3080.05,0,2756520
889.45,3059.11,0,2887626
892.68,3047.83,0,3025092
924.9,3170.29,0,3155627
870.12,3080.05,0,3286623
858.03,3086.5,0,3417513
874.15,3067.16,0,3548634
870.92,3055.88,0,3687694
876.56,3060.72,0,3818622
876.56,3067.16,0,3949650
876.56,3073.61,0,4080623
876.56,3080.05,0,4211626
870.92,3084.89,0,4342623
874.15,3067.16,0,4473638
866.89,3054.27,0,4604604
864.48,3055.88,0,4735596
863.67,3059.11,0,4876327
877.37,3034.94,0,5006566
876.56,3055.88,0,5137604
866.09,3057.5,0,5268566
874.95,3080.05,0,5406151
876.56,3065.55,0,5536626
870.92,3072.8,0,5667581
872.53,3055.88,0,5798626
881.4,3055.88,0,5929646
876.56,3047.83,0,6060626
873.34,3060.72,0,6191634
878.17,3060.72,0,6322626
885.42,3057.5,0,6453635
878.98,3028.49,0,6584566
877.37,3052.66,0,6715635
869.31,3054.27,0,6846565
881.4,3060.72,0,6977572
895.09,3051.05,0,7108626
887.04,3054.27,0,7239634
881.4,3030.91,0,7377353
876.56,3054.27,0,7507592
879.79,3054.27,0,7645060
883.81,3063.94,2,7775583
864.48,3063.94,2,7906515
880.59,3047.83,2,8037563
884.62,2989.82,2,8168586
858.84,2983.37,2,8299582
857.23,2944.7,2,8430567
858.84,2954.37,2,8561563
858.03,2952.76,2,8700492
854,2964.04,2,8831511
865.28,2996.26,2,8962514
865.28,3009.16,2,9093511
878.98,2975.32,2,9224514
871.73,3012.38,2,9355574
870.92,3004.32,2,9486577
876.56,3002.71,2,9617511
878.98,2989.82,2,9748514
889.45,2978.54,2,9879533
883.01,2973.71,2,10016993
881.4,2951.15,2,10147522
885.42,2970.48,2,10278524
878.98,2980.15,0,10409582
879.79,2989.82,0,10540577
889.45,3022.05,0,10671533
931.35,3054.27,0,10802597
899.93,3047.83,0,10933533
922.49,3028.49,0,11064598
930.54,3034.94,0,11195582
916.85,3031.71,0,11326597
906.37,3054.27,0,11457582
915.23,3041.38,0,11588524
908.79,3040.58,0,11719511
889.45,3059.91,0,11850524
902.34,3067.16,0,11981533
889.45,3070.39,0,12112557
897.51,3056.69,0,12250047
895.9,3054.27,0,12380577
894.29,3034.94,0,12511533
892.68,3044.6,0,12642514
897.51,3026.88,0,12773511
895.09,3047.83,0,12904514
886.23,3041.38,1,13035563
887.04,3067.16,1,13166567
889.45,3063.94,1,13297511
892.68,3057.5,1,13428567
893.48,3047.83,1,13559511
894.29,3031.71,1,13690515
889.45,3025.27,1,13821533
894.29,3030.1,1,13952514
899.12,3038.16,1,14090863
889.45,3039.77,1,14221567
878.98,3039.77,1,14352564
892.68,3028.49,1,14489959
895.9,3034.94,1,14620582
891.87,3047.83,1,14751524
891.06,3025.27,1,14882573
888.65,3046.22,1,15013537
900.73,3015.6,1,15144583
882.2,3047.83,1,15275577
889.45,3028.49,1,15416349
891.06,3031.71,1,15546524
891.06,3020.43,0,15677563
898.32,3001.9,0,15808547
881.4,3051.05,0,15939635
889.45,3076.83,0,16070639
893.48,3072,0,16201636
894.29,3067.16,0,16332524
890.26,3092.94,0,16463563
893.48,3073.61,0,16594537
900.73,3060.72,0,16731989
891.06,3063.94,0,16862586
892.68,3059.11,0,16993563
893.48,3067.16,0,17131492
887.04,3073.61,0,17262563
883.01,3080.05,0,17393537
902.34,3067.16,0,17524563
876.56,3083.28,0,17655628
887.04,3080.05,0,17786624
876.56,3084.89,0,17917567
891.87,3067.16,0,18048563
884.62,3072,0,18179577
887.84,3076.83,1,18310582
887.84,3076.83,1,18441628
876.56,3067.16,1,18572574
890.26,3067.16,1,18703567
891.06,3041.38,1,18842463
886.23,3004.32,1,18980050
899.12,3051.05,1,19110573
889.45,3030.91,1,19241567
886.23,3063.94,1,19372636
880.59,3022.05,1,19503577
874.95,3041.38,1,19634635
878.98,3047.83,1,19765577
873.34,3015.6,1,19896636
879.79,3015.6,1,20027546
886.23,3041.38,1,20158635
885.42,3028.49,1,20289524
876.56,3014.79,1,20420574
867.7,3005.93,1,20551567
876.56,3020.43,1,20682593
866.89,2989.82,1,20813514
880.59,3015.6,2,20944593
878.17,3026.88,2,21075524
876.56,3004.32,2,21213046
821.78,2957.59,2,21343576
836.28,2970.48,2,21474520
852.39,2970.48,2,21605566
854,2970.48,2,21736498
858.03,2926.98,2,21866536
839.5,2954.37,2,21997520
850.78,2938.26,2,22128513
853.2,2928.59,2,22259509
854.81,2938.26,2,22390545
852.39,2938.26,2,22521510
855.62,2960.82,2,22652566
860.45,2954.37,2,22783562
863.67,2957.59,2,22914566
876.56,2970.48,2,23045562
