right,left,light index,add,sub,light
884.62,2685.28,1,2686.28,2684.28,90
886.23,2693.33,1,2694.33,2692.33,90
884.62,2686.89,1,2687.89,2685.89,90
889.45,2696.56,1,2697.56,2695.56,90
876.56,2712.67,0,2712.67,2712.67,150
883.81,2715.89,0,2715.89,2715.89,150
889.45,2715.09,0,2715.09,2715.09,150
889.45,2744.9,0,2744.9,2744.9,150
885.42,2743.29,0,2743.29,2743.29,150
889.45,2757.79,0,2757.79,2757.79,150
881.4,2749.73,0,2749.73,2749.73,150
891.06,2748.12,0,2748.12,2748.12,150
895.9,2746.51,0,2746.51,2746.51,150
899.12,2765.84,0,2765.84,2765.84,150
896.7,2756.18,0,2756.18,2756.18,150
896.7,2777.12,0,2777.12,2777.12,150
893.48,2769.07,0,2769.07,2769.07,150
903.96,2756.98,0,2756.98,2756.98,150
902.34,2769.87,0,2769.87,2769.87,150
896.7,2757.79,0,2757.79,2757.79,150
904.76,2783.57,0,2783.57,2783.57,150
915.23,2790.01,0,2790.01,2790.01,150
913.62,2777.12,0,2777.12,2777.12,150
928.12,2796.46,0,2796.46,2796.46,150
909.59,2780.35,2,2782.35,2778.35,30
905.57,2783.57,2,2785.57,2781.57,30
887.04,2796.46,2,2798.46,2794.46,30
903.15,2728.78,2,2730.78,2726.78,30
885.42,2720.73,2,2722.73,2718.73,30
877.37,2706.23,2,2708.23,2704.23,30
850.78,2735.23,2,2737.23,2733.23,30
858.03,2719.92,2,2721.92,2717.92,30
852.39,2715.89,2,2717.89,2713.89,30
838.7,2706.23,2,2708.23,2704.23,30
863.67,2715.89,2,2717.89,2713.89,30
865.28,2696.56,2,2698.56,2694.56,30
884.62,2703,2,2705,2701,30
872.53,2691.72,2,2693.72,2689.72,30
858.84,2669.17,2,2671.17,2667.17,30
863.67,2674,2,2676,2672,30
856.42,2669.17,2,2671.17,2667.17,30
851.59,2651.44,2,2653.44,2649.44,30
867.7,2680.44,2,2682.44,2678.44,30
858.03,2694.95,2,2696.95,2692.95,30
863.67,2680.44,0,2680.44,2680.44,150
862.06,2679.64,0,2679.64,2679.64,150
863.67,2669.97,0,2669.97,2669.97,150
